gas/nogas,Xvox,Yvox,Zvox,Mvox
0.0,17,176,75,0.00590493061706525
0.0,17,176,78,0.00590493061706525
0.0,17,176,86,0.00590493061706525
0.0,17,176,101,0.00590493061706525
0.0,17,177,84,0.00590493061706525
0.0,17,178,71,0.00590493061706525
0.0,17,178,87,0.00590493061706525
0.0,17,179,85,0.00590493061706525
0.0,17,180,67,0.00590493061706525
0.0,17,180,77,0.0118098612341305
0.0,17,180,78,0.00590493061706525
0.0,17,180,79,0.00590493061706525
0.0,17,180,94,0.00590493061706525
0.0,17,180,102,0.00590493061706525
0.0,17,181,82,0.00590493061706525
0.0,17,183,60,0.00590493061706525
0.0,17,183,63,0.00590493061706525
0.0,17,183,84,0.00590493061706525
0.0,17,184,66,0.00590493061706525
0.0,17,184,82,0.00590493061706525
0.0,17,185,73,0.00590493061706525
0.0,17,186,66,0.00590493061706525
0.0,17,186,73,0.00590493061706525
0.0,17,186,76,0.00590493061706525
0.0,17,186,81,0.00590493061706525
0.0,17,186,86,0.0118098612341305
0.0,17,187,68,0.00590493061706525
0.0,17,187,69,0.00590493061706525
0.0,17,187,72,0.00590493061706525
0.0,17,188,66,0.00590493061706525
0.0,17,188,82,0.00590493061706525
0.0,17,189,69,0.00590493061706525
0.0,17,189,71,0.00590493061706525
0.0,17,189,77,0.00590493061706525
0.0,17,190,67,0.00590493061706525
0.0,17,191,70,0.00590493061706525
0.0,17,192,70,0.00590493061706525
0.0,17,192,76,0.00590493061706525
0.0,17,193,75,0.00590493061706525
0.0,17,193,76,0.00590493061706525
0.0,17,193,77,0.00590493061706525
0.0,17,194,78,0.00590493061706525
0.0,17,194,79,0.00590493061706525
0.0,17,195,81,0.00590493061706525
0.0,17,196,73,0.00590493061706525
0.0,17,196,75,0.00590493061706525
0.0,17,196,83,0.00590493061706525
0.0,17,197,76,0.0118098612341305
0.0,17,197,84,0.00590493061706525
0.0,17,198,69,0.00590493061706525
0.0,17,198,77,0.00590493061706525
0.0,17,199,68,0.00590493061706525
0.0,17,199,80,0.00590493061706525
0.0,17,199,81,0.00590493061706525
